Component,Comment,Designator,Footprint,LCSC Part #
1,0.1uF,C4 C5 C6 C7 C8 C9 C10 C14 C15 C19 C22 C24 C27 C30 C32,0402_C,
2,10nF,C18 C21 C26 C29 C31 C34,0402_C,
3,10uF,C12 C13 C17 C36,0402_C,
4,1uF,C1 C2 C3 C11 C16 C33 C35,0402_C,C363938
5,4.7uF,C20 C23 C28,0402_C,
6,47nF,C25,0402_C,
7,LED_Small_ALT,D1,0603_LED,C2286
11,SMA-J-P-H-RA-TH1,J1,SMA_Amphenol_132134-10_Vertical,
12,ADL3225V-470MT-TL000,L2,1210_L, C435260
13,BLM18PG471SN1D,L1 L3 L4 L5,0603_L,C97853
14,0,R11 R12 R13,0402_R,
15,100K,R9,0402_R,
16,10K,R7 R8,0402_R,
17,1K,R4,0402_R,
18,2K,R1 R5 R6,0402_R,
19,50,R3,0402_R,C441726
20,500,R2,0402_R,C137970
21,DS90UB933-Q1,U2,QFN_33_P50_500X500X80L40X24T310L,
23,NCV8154MW180280TBG,U1,DFN10_3x3_11P50_300X300X100L40X24T250X180N,
,,,,
,,,,
,,,,
,,,,
,,,,
Component Groups:,,,,
Component Count:,,,,
Fitted Components:,,,,
Number of PCBs:,,,,
Total components:,,,,
Schematic Version:,,,,
Schematic Date:,,,,
PCB Variant:,,,,
BoM Date:,,,,
Schematic Source:,,,,
KiCad Version:,,,,
