Designator,Mid X,Mid Y,Layer,Rotation
C1,121.4882,-26.3652,top,180
C2,119.5324,-26.3652,top,0
C3,118.0338,-29.4894,top,270
C4,105.5624,-35.687,top,90
C5,117.0686,-36.5506,top,90
C6,111.9886,-44.9326,top,0
C7,111.9886,-43.9928,top,0
C8,112.0394,-31.7754,top,0
C9,109.6264,-43.6626,top,180
C10,112.0394,-32.7152,top,0
C11,114.7572,-31.0772,top,0
C12,124.9934,-30.6708,top,90
C13,126.2126,-30.6708,top,90
C14,109.2708,-33.655,top,180
C15,117.0178,-40.132,top,270
C16,106.9086,-46.7744,top,270
C17,113.1062,-29.5278,top,90
C18,114.173,-40.069,top,270
C19,115.1128,-40.0812,top,270
C20,116.0018,-41.91,top,270
C21,114.6048,-41.4274,top,0
C22,114.6048,-42.3672,top,0
C23,114.6048,-43.307,top,0
C24,114.5672,-37.7952,top,0
C25,114.5794,-38.7096,top,0
C26,114.173,-36.449,top,90
C27,115.1128,-36.449,top,90
C28,115.0874,-34.6964,top,90
C29,106.9975,-33.2613,top,90
C30,107.9373,-33.2613,top,90
C31,104.6226,-37.4396,top,90
C32,105.5624,-37.4396,top,90
C33,118.7704,-44.1198,top,0
C34,104.2162,-43.1038,top,0
C35,116.0018,-47.117,top,180
C36,108.0008,-47.131,top,270
D1,102.7684,-38.1,top,270
J1,122.7074,-38.1,top,180
L1,118.1608,-37.1094,top,90
L2,122.3518,-32.4104,top,0
L3,117.094,-42.291,top,90
L4,114.9604,-44.4246,top,180
L5,116.205,-34.3408,top,270
R1,123.2154,-30.48,top,180
R2,102.7684,-35.8648,top,270
R3,116.332,-38.6842,top,0
R4,118.7704,-43.2308,top,180
R5,104.7242,-39.1668,top,270
R6,105.5624,-39.1668,top,270
R7,115.9764,-46.228,top,0
R8,113.7412,-46.2534,top,180
R9,113.7412,-47.0916,top,0
R10,102.8192,-45.3136,top,270
R11,119.4054,-32.4996,top,270
R12,117.3988,-46.7236,top,270
R13,114.1984,-34.684,top,90
U1,120.523,-28.575,top,270
U2,110.49,-38.113,top,0
U4,104.8004,-44.8818,top,0
